,1.0,2.0,3.0
BARRY_6_N001,226.00000000082318,204.00000000073922,178.99999999988458
EDENVALE_1_N006,225.1111111110086,202.44444444340971,175.99999999870391
FRNCHGLH_6_N001,219.77777777858705,199.11111111207703,173.11111111117606
HILLSIDE_1_N004,225.22222225053318,204.44444444367315,177.77777777657718
WPBART_1_N004,225.22222224292497,203.77777777700177,176.88888888770381
